Tipo,Descripcion,Localizacion,Atributos,Valor
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños64 m²,$ 297.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños46 m²,$ 182.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños57 m²,$ 190.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños107 m²,$ 450.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños48 m²,$ 132.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño42 m²,$ 119.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño68 m²,$ 260.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños74 m²,$ 200.000.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 m²,$ 131.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños51 m²,$ 160.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño43 m²,$ 112.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño42 m²,$ 253.500.000
Apartamento,Apartamento en venta en Santa Teresa,"Santa Teresa, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños64 m²,$ 246.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños114 m²,$ 510.000.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño46 m²,$ 127.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños80 m²,$ 250.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño53 m²,$ 136.600.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños72 m²,$ 270.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño53 m²,$ 144.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 m²,$ 197.000.000
Casa,Casa en venta en Castilla,"Castilla, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 249.500.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones2 baños50 m²,$ 141.000.000
Apartamento,Apartamento en venta en Cantagallo,"Cantagallo, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 m²,$ 387.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 m²,$ 300.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños72 m²,$ 270.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño43 m²,$ 119.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 m²,$ 265.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño38 m²,$ 166.000.000
Apartamento,Apartamento en venta en Tunjuelito,"Tunjuelito, Zona Sur, Bogotá D.C, Cundinamarca",1 habitación1 baño27 m²,$ 181.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 m²,$ 190.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 m²,$ 148.000.000
Apartamento,Apartamento en venta en Los Mártires,"Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",5 habitaciones4 baños184 / 184 m²,$ 560.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones2 baños100 / 100 m²,$ 400.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones6 baños270 / 270 m²,$ 2.000.000.000
Casa,Casa en venta en Patio Bonito,"Patio Bonito, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",12 habitaciones5 baños72 / 72 m²,$ 550.000.000
Apartamento,Apartamento en venta en Niza,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños125 / 125 m²,$ 800.000.000
Casa,Casa en venta en Tunjuelito,"Tunjuelito, Zona Sur, Bogotá D.C, Cundinamarca",10 habitaciones5 baños390 / 390 m²,$ 700.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño54 / 54 m²,$ 340.000.000
Casa,Casa en venta en Bellavista Occidental,"Bellavista Occidental, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños173 / 173 m²,$ 550.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños120 / 120 m²,$ 450.000.000
Casa,Casa en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños74 / 74 m²,$ 195.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños133 / 130 m²,$ 750.000.000
Apartamento,Apartamento en venta en La Candelaria,"La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación1 baño38 / 38 m²,$ 240.000.000
Apartamento,Apartamento en venta en Alhambra,"Alhambra, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños86 / 86 m²,$ 450.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños62 / 62 m²,$ 390.000.000
Casa,Casa en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",6 habitaciones3 baños160 / 160 m²,$ 1.500.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño4600 / 4600 m²,$ 155.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños63 / 63 m²,$ 320.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones4 baños170 / 170 m²,$ 780.000.000
Apartamento,Apartamento en venta en Ingles,"Ingles, Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño80 / 80 m²,$ 200.000.000
Apartamento,Apartamento en venta en Los Mártires,"Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",5 habitaciones4 baños184 / 184 m²,$ 560.000.000
Casa,Casa en venta en Rafael Uribe Uribe,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",13 habitaciones8 baños430 / 430 m²,$ 800.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",6 habitaciones4 baños230 / 230 m²,$ 660.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños67 / 67 m²,$ 380.000.000
Casa,Casa en venta en Los Mártires,"Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",6 habitaciones5 baños714 / 714 m²,$ 1.200.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 / 62 m²,$ 155.000.000
Apartamento,Apartamento en venta en La Sabana,"La Sabana, Los Mártires, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños132 / 132 m²,$ 460.000.000
Casa,Casa en venta en Bellavista Occidental,"Bellavista Occidental, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños173 / 173 m²,$ 550.000.000
Apartamento,Apartamento en venta en Niza,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños125 / 125 m²,$ 800.000.000
Casa,Casa en venta en Tunjuelito,"Tunjuelito, Zona Sur, Bogotá D.C, Cundinamarca",10 habitaciones5 baños390 / 390 m²,$ 700.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños58 / 58 m²,$ 195.000.000
Casa,Casa en venta en San Cristobal,"San Cristobal, Zona Sur, Bogotá D.C, Cundinamarca",5 habitaciones5 baños250 / 250 m²,$ 1.100.000.000
Casa,Casa en venta en Alhambra,"Alhambra, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones4 baños307 / 307 m²,$ 920.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 / 47 m²,$ 150.000.000
Casa,Casa en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños89 / 89 m²,$ 210.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños76 / 76 m²,$ 195.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño42 / 42 m²,$ 133.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño43 / 43 m²,$ 120.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 / 58 m²,$ 255.000.000
Casa,Casa en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",10 habitaciones4 baños300 / 300 m²,$ 1.700.000.000
Casa,Casa en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño118 / 118 m²,$ 130.000.000
Apartamento,Apartamento en venta en Tunjuelito,"Tunjuelito, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño56 / 56 m²,$ 180.000.000
Casa,Casa en venta en Antonio Nariño,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",4 habitaciones2 baños349 / 349 m²,$ 750.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños150 / 150 m²,$ 420.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño70 / 70 m²,$ 265.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño54 / 50 m²,$ 140.000.000
Casa,Casa en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",10 habitaciones6 baños420 / 420 m²,$ 1.400.000.000
Apartamento,Apartamento en venta en Villa Alsacia,"Villa Alsacia, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 / 74 m²,$ 320.000.000
Apartamento,Apartamento en venta en Villa Alsacia,"Villa Alsacia, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño42 / 42 m²,$ 170.000.000
Casa,Casa en venta en Villa Alsacia,"Villa Alsacia, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños122 / 122 m²,$ 420.000.000
Casa,Casa en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones4 baños86 / 86 m²,$ 630.000.000
Apartamento,Apartamento en venta en Villa Alsacia,"Villa Alsacia, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 / 63 m²,$ 290.000.000
Apartamento,Apartamento en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños98 / 89 m²,$ 750.000.000
Casa,Casa en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",10 habitaciones6 baños420 / 420 m²,$ 1.400.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño43 / 43 m²,$ 120.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño42 / 42 m²,$ 133.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 / 58 m²,$ 255.000.000
Casa,Casa en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño118 / 118 m²,$ 130.000.000
Apartamento,Apartamento en venta en Tunjuelito,"Tunjuelito, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño56 / 56 m²,$ 180.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño54 / 50 m²,$ 140.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños150 / 150 m²,$ 420.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño70 / 70 m²,$ 265.000.000
Apartamento,Apartamento en venta en Ciudad Bolívar,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 / 45 m²,$ 168.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños80 / 80 m²,$ 295.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño49 / 49 m²,$ 250.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones1 baño67 / 67 m²,$ 160.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños72 / 72 m²,$ 300.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",8 habitaciones8 baños320 / 320 m²,$ 1.400.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños89 / 89 m²,$ 500.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños61 / 43 m²,$ 300.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños52 / 52 m²,$ 134.999.998
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños64 / 64 m²,$ 280.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños79 / 79 m²,$ 420.000.000
Casa,Casa en venta en Rafael Uribe Uribe,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",10 habitaciones7 baños298 / 298 m²,$ 260.000.000
Casa,Casa en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones2 baños57 / 57 m²,$ 140.000.000
Casa,Casa en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños240 / 240 m²,$ 290.000.000
Casa,Casa en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",8 habitaciones4 baños270 / 270 m²,$ 1.300.000.000
Apartamento,Apartamento en venta en Lagos De Cordoba,"Lagos De Cordoba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones4 baños188 / 188 m²,$ 1.080.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño52 / 49 m²,$ 145.000.000
Apartamento,Apartamento en venta en Las Nieves,"Las Nieves, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación1 baño17 / 14 m²,$ 190.000.000
Casa,Casa en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 / 70 m²,$ 180.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",10 habitaciones3 baños260 / 260 m²,$ 450.000.000
Apartamento,Apartamento en venta en Lagos De Cordoba,"Lagos De Cordoba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños118 / 118 m²,$ 990.000.000
Casa,Casa en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones7 baños625 / 321 m²,$ 1.900.000.000
Apartamento,Apartamento en venta en Las Nieves,"Las Nieves, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación1 baño22 / 17 m²,$ 200.000.000
Apartamento,Apartamento en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 / 59 m²,$ 320.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 / 58 m²,$ 300.000.000
Casa,Casa en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones6 baños176 / 176 m²,$ 600.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",5 habitaciones5 baños200 / 200 m²,$ 900.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 / 78 m²,$ 320.000.000
Apartamento,Apartamento en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 / 60 m²,$ 250.000.000
Casa,Casa en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",5 habitaciones5 baños200 / 200 m²,$ 750.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños53 / 53 m²,$ 160.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 / 68 m²,$ 230.000.000
Casa,Casa en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones5 baños296 / 296 m²,$ 1.350.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",5 habitaciones3 baños100 / 100 m²,$ 395.000.000
Casa,Casa en venta en Boyaca ,"Boyaca , Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",9 habitaciones4 baños266 / 266 m²,$ 600.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño62 / 62 m²,$ 150.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños104 / 104 m²,$ 620.000.000
Apartamento,Apartamento en venta en Nicolas De Federman,"Nicolas De Federman, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños163 / 163 m²,$ 690.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños211 / 211 m²,$ 1.300.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones5 baños240 / 240 m²,$ 1.590.000.000
Apartamento,Apartamento en venta en Antonio Nariño,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño74 / 74 m²,$ 220.000.000
Apartamento,Apartamento en venta en Antonio Nariño,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño58 / 58 m²,$ 230.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",6 habitaciones3 baños210 / 210 m²,$ 340.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones5 baños261 / 257 m²,$ 1.500.000.000
